,CO2,netNOx,SO2,BC,H2O,Contrail Cirrus and C-C,Total
GWP100 BAU,1524.6684187015285,243.19551051261521,-125.72321756014513,11.162083174203906,34.246081090219576,338.8538604283633+/-0,2026.4027363467856+/-0
GWP100 SAF,0.0,243.4387060231278,-0.0,11.173245257378108,38.39396643186697,337+/-25,630+/-25
GWP20 BAU,1524.6684187015285,1320.5089562044634,-462.83945579664044,41.04889592708949,125.56896399747178,1201.3909597005606+/-0,3750.346738734473+/-0
GWP20 SAF,0.0,1321.8294651606677,-0.0,41.08994482301657,140.77787691684557,(1.19+/-0.09)e+03,(2.70+/-0.09)e+03
