,NOx,SO2,BC,H2O,Contrail Cirrus and C-C,CO2,Total
GWP* SAF,(1.1+/-1.6)e+02,0.0+/-0,9+/-15,31+/-15,(-7+/-5)e+02,0.0,(-6+/-5)e+02
GWP* BAU,(1.1+/-1.6)e+02,(-1.0+/-0.8)e+02,13+/-21,27+/-14,(2.8+/-2.0)e+02,1542.5356267331872,(1.87+/-0.27)e+03
