,CO2,netNOx,SO2,BC,H2O,Contrail Cirrus and C-C,Total
GWP100 BAU,1523.1452734281006,242.9525579546606,-125.59761994020494,11.150932241961945,34.21186922099858,944.513961846045+/-0,2630.3769747515616+/-0
GWP100 SAF,0.0,242.9525579546606,-0.0,11.150932241961945,38.317293527518416,980+/-25,1272+/-25
GWP20 BAU,1523.1452734281006,1319.1897664380256,-462.3770787179226,41.00788803905044,125.4435204769948,3348.7313192723414+/-0,5895.140688936591+/-0
GWP20 SAF,0.0,1319.1897664380256,-0.0,41.00788803905044,140.4967429342342,(3.47+/-0.09)e+03,(4.98+/-0.09)e+03
