,NOx,Contrail Cirrus and C-C,CO2,Total
GWP* DACCU,(4+/-6)e+01,(-7+/-5)e+02,0.0,(-6+/-5)e+02
GWP* BAU,(1.1+/-1.6)e+02,(8+/-6)e+02,1540.9946321010864,(2.4+/-0.6)e+03
