,CO2,netNOx,SO2,BC,H2O,Contrail Cirrus and C-C,Total
GWP100 BAU,-1.5409946321008192,-0.24295255795462367,0.12559761994019425,-0.016160771365161253,-0.034211869220996505,643.152142623296+/-0,641.4434204125942+/-0
GWP100 SAF,0.0,-0.4861480684672017,0.0,-0.02231301541616304,-0.07667290434855545,643+/-35,643+/-35
GWP20 BAU,-1.5409946321008192,-1.3191897664378303,0.46237707871785005,-0.05943172179571832,-0.1254435204769777,2280.266687482595+/-0,2277.684004920502+/-0
GWP20 SAF,0.0,-2.6396987226421516,0.0,-0.08205678396613081,-0.28113398261137945,(2.28+/-0.12)e+03,(2.28+/-0.12)e+03
