,CO2,netNOx,Contrail Cirrus and C-C,Total
GWP100 BAU,1540.9946321010864,242.9525579546606,1291.9743212312749,3075.9215112870215
GWP100 DACCU,0.0,218.65730215919453,710.5858766772012,929.2431788363957
GWP20 BAU,1540.9946321010864,1319.1897664380256,4580.636229819974,7440.820628359086
GWP20 DACCU,0.0,1187.270789794223,2519.3499264009856,3706.620716195209
