,CO2,netNOx,SO2,BC,H2O,Contrail Cirrus and C-C,Total
GWP100 BAU,-59.497862243285226,0,0.0,2.020096420645279,0,3.3399302936793447,-54.1378355289606
GWP100 SAF,-59.497862243285226,0,0.0,1.3938665302452424,0,48.584819870128854,-9.519175842911132
GWP20 BAU,-59.497862243285226,0,0.0,7.4289652244656565,0,11.84157104122687,-40.2273259775927
GWP20 SAF,-59.497862243285226,0,0.0,5.125986004881305,0,172.25527044863838,117.88339421023446
