,NOx,SO2,BC,H2O,Contrail Cirrus and C-C,CO2,Total
GWP* SAF,(1.1+/-1.6)e+02,0.0+/-0,9+/-15,31+/-15,(7+/-5)e+02,0,(8+/-5)e+02
GWP* BAU,(1.1+/-1.6)e+02,(-1.0+/-0.8)e+02,13+/-21,27+/-14,(8+/-6)e+02,1540.9946321010864+/-0,(2.4+/-0.6)e+03
