,CO2,netNOx,SO2,BC,H2O,Contrail Cirrus and C-C,Total
GWP100 BAU,1540.9946321010864+/-0,242.9525579546606+/-0,-125.59761994020494+/-0,16.16077136516224+/-0,34.21186922099858+/-0,1002.9819974553262+/-0,2711.704208157029+/-0
GWP100 SAF,0.0+/-0,242.9525579546606+/-0,-0.0+/-0,7.757170255277875+/-0,38.317293527518416+/-0,963+/-32,1252+/-32
GWP20 BAU,1540.9946321010864+/-0,1319.1897664380256+/-0,-462.3770787179226+/-0,59.43172179572529+/-0,125.4435204769948+/-0,3556.027081887066+/-0,6138.709643980976+/-0
GWP20 SAF,0.0+/-0,1319.1897664380256+/-0,-0.0+/-0,28.527226461948135+/-0,140.4967429342342+/-0,(3.42+/-0.11)e+03,(4.90+/-0.11)e+03
